A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
FA0.8_MA0.1_Cs0.1,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.777606817121573,10
FA0.8_MA0.1_Cs0.1,Pb,I,nip,SnO2_np,Spiro_MeOTAD,17.632447702293597,916
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.624067405739012,10
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,17.53033520199649,916
FA0.85_MA0.15,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.40665608577308,10
FA0.8_MA0.1_Cs0.1,Pb,I,nip,SnO2_np,PTAA,17.2978246730131,51
FA0.85_MA0.15,Pb,I,nip,SnO2_np,PTAA,17.289563153467327,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.277670567822806,10
FA0.85_MA0.15,Pb,I,nip,SnO2_np,Spiro_MeOTAD,17.234286844265228,916
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,17.146416735420225,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,17.091878726241983,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,17.08589785433565,916
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,17.05962906576903,10
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,16.965896862026508,916
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.839355173577946,10
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,16.805660333801242,916
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.776907010252664,10
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,16.726653612998852,916
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.712411711870935,10
FA0.83_Cs0.17,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.66837710433102,916
Cs0.2_FA0.8,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.664112683738033,916
Cs0.2_FA0.8,Pb,I,pin,SnO2_np,Spiro_MeOTAD,16.644630375040936,10
FA0.8_MA0.1_Cs0.1,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,16.640422378837066,15
FA0.83_Cs0.17,Pb,I,pin,SnO2_np,Spiro_MeOTAD,16.63233623815681,10
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,16.520638998383777,916
FA0.8_MA0.1_Cs0.1,Pb,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,16.486894799277295,5986
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,16.484880980106006,51
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,16.411658434625572,15
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,16.397593347085717,51
FA0.83_Cs0.17,Pb,I,nip,SnO2_np,PTAA,16.373228342898006,51
Cs0.2_FA0.8,Pb,I,nip,SnO2_np,PTAA,16.360683010087122,51
FA0.85_MA0.15,Pb,I,pin,PCBM_60,PTAA,16.334857925364513,61
FA0.8_MA0.1_Cs0.1,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,16.331310932496393,263
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.3116477621439,10
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,16.30955776615126,5986
FA0.85_MA0.15,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,16.28513586291465,15
FA0.8_MA0.1_Cs0.1,Pb,I,pin,PCBM_60,PTAA,16.27802687553442,61
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,16.277952922367195,916
Cs0.2_FA0.8,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.24919959881862,10
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,16.1989462015648,916
FA0.8_MA0.1_Cs0.1,Pb,I,nip,PCBM_60,PTAA,16.19795933547167,6
FA0.85_MA0.15,Pb,I0.83_Br0.17,pin,PCBM_60,PTAA,16.19237225581823,61
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,PCBM_60,PTAA,16.132853354313887,6
FA0.85_MA0.15,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,16.12780806874229,263
