A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
FA0.8_MA0.1_Cs0.1,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.777606817121573,10
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.624067405739012,10
FA0.85_MA0.15,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.40665608577308,10
FA0.8_MA0.1_Cs0.1,Pb,I,nip,SnO2_np,PTAA,17.2978246730131,51
FA0.85_MA0.15,Pb,I,nip,SnO2_np,PTAA,17.289563153467327,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.277670567822806,10
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,17.146416735420225,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,17.091878726241983,51
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,17.05962906576903,10
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.839355173577946,10
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.776907010252664,10
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.712411711870935,10
FA0.83_Cs0.17,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.66837710433102,916
Cs0.2_FA0.8,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.664112683738033,916
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,16.484880980106006,51
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,16.397593347085717,51
FA0.83_Cs0.17,Pb,I,nip,SnO2_np,PTAA,16.373228342898006,51
Cs0.2_FA0.8,Pb,I,nip,SnO2_np,PTAA,16.360683010087122,51
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.3116477621439,10
Cs0.2_FA0.8,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.24919959881862,10
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,16.10700020154292,51
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,16.056783414451182,51
MA0.9_Cs0.1,Pb,I,pin,SnO2_np,Spiro_MeOTAD,15.90557351505347,10
MA,Pb,I,nip,SnO2_np,PTAA,15.821774240361984,51
MA0.9_Cs0.1,Pb,I,nip,SnO2_np,PTAA,15.801127870059933,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,15.766062906375824,10
MA0.9_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.726031068846826,10
MA,Pb,I,pin,SnO2_np,Spiro_MeOTAD,15.71965749795998,10
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.641955769981315,10
MA,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.613550128367653,10
