A,B,X,arch,ETL,HTL,Predicted_PCE
FA0.8_MA0.1_Cs0.1,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.777606817121573
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.624067405739012
FA0.85_MA0.15,Pb,I,pin,SnO2_np,Spiro_MeOTAD,17.40665608577308
FA0.85_MA0.15,Pb,I,pin,SnO2_np,PTAA,17.405345070098516
FA0.8_MA0.1_Cs0.1,Pb,I,pin,SnO2_np,PTAA,17.38639646296441
FA0.85_MA0.15,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,17.277670567822806
FA0.85_MA0.15,Pb,I0.83_Br0.17,pin,SnO2_np,PTAA,17.17655744411715
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,17.146416735420225
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,17.05962906576903
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.839355173577946
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,16.776907010252664
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.712411711870935
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,SnO2_np,PTAA,16.692382562130263
FA0.83_Cs0.17,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.66837710433102
Cs0.2_FA0.8,Pb,I,nip,SnO2_np,Spiro_MeOTAD,16.664112683738033
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,SnO2_np,PTAA,16.621653486587086
Cs0.2_FA0.8,Pb,I,pin,SnO2_np,PTAA,16.419462186011405
FA0.83_Cs0.17,Pb,I,pin,SnO2_np,PTAA,16.415448961345177
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.3116477621439
Cs0.2_FA0.8,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,16.24919959881862
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,SnO2_np,PTAA,16.141462132326346
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,16.10700020154292
MA,Pb,I,pin,SnO2_np,PTAA,15.96056959539853
MA0.9_Cs0.1,Pb,I,pin,SnO2_np,Spiro_MeOTAD,15.90557351505347
MA0.9_Cs0.1,Pb,I,pin,SnO2_np,PTAA,15.903589489671424
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,15.766062906375824
MA0.9_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.726031068846826
MA,Pb,I,pin,SnO2_np,Spiro_MeOTAD,15.71965749795998
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,SnO2_np,PTAA,15.685564818954404
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.641955769981315
