Candidate_composition,Architecture,ETL,HTL,A_FA,A_MA,A_Cs,B_Pb,B_Sn,X_I,X_Br,Predicted_PCE
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.55Br0.45,pin,SnO2-np,PTAA,0.8,0.1,0.1,1.0,0.0,0.85,0.15,18.127339121680002
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.70Br0.30,pin,SnO2-np,PTAA,0.8,0.1,0.1,1.0,0.0,0.9,0.1,18.127339121680002
FA0.75MA0.15Cs0.10-Pb1.00Sn0.00-I2.55Br0.45,pin,SnO2-np,PTAA,0.75,0.15,0.1,1.0,0.0,0.85,0.15,18.036075365795128
FA0.75MA0.15Cs0.10-Pb1.00Sn0.00-I2.70Br0.30,pin,SnO2-np,PTAA,0.75,0.15,0.1,1.0,0.0,0.9,0.1,18.036075365795128
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.40Br0.60,pin,SnO2-np,PTAA,0.8,0.1,0.1,1.0,0.0,0.8,0.2,17.991929558773375
FA0.75MA0.15Cs0.10-Pb1.00Sn0.00-I2.40Br0.60,pin,SnO2-np,PTAA,0.75,0.15,0.1,1.0,0.0,0.8,0.2,17.89218944717214
FA0.85MA0.00Cs0.15-Pb1.00Sn0.00-I2.70Br0.30,pin,SnO2-np,PTAA,0.85,0.0,0.15,1.0,0.0,0.9,0.1,17.82589492226574
FA0.85MA0.00Cs0.15-Pb1.00Sn0.00-I2.55Br0.45,pin,SnO2-np,PTAA,0.85,0.0,0.15,1.0,0.0,0.85,0.15,17.82589492226574
FA0.85MA0.00Cs0.15-Pb1.00Sn0.00-I2.40Br0.60,pin,SnO2-np,PTAA,0.85,0.0,0.15,1.0,0.0,0.8,0.2,17.330733825581206
FA0.80MA0.10Cs0.10-Pb0.95Sn0.05-I2.70Br0.30,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.95,0.05,0.9,0.1,17.243868510515274
FA0.80MA0.10Cs0.10-Pb0.90Sn0.10-I2.70Br0.30,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.9,0.1,0.9,0.1,17.243868510515274
FA0.80MA0.10Cs0.10-Pb0.90Sn0.10-I2.55Br0.45,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.9,0.1,0.85,0.15,17.23059381410368
FA0.80MA0.10Cs0.10-Pb0.95Sn0.05-I2.55Br0.45,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.95,0.05,0.85,0.15,17.23059381410368
FA0.75MA0.15Cs0.10-Pb0.90Sn0.10-I2.70Br0.30,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.9,0.1,0.9,0.1,17.1526047546304
FA0.75MA0.15Cs0.10-Pb0.95Sn0.05-I2.70Br0.30,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.95,0.05,0.9,0.1,17.1526047546304
FA0.75MA0.15Cs0.10-Pb0.90Sn0.10-I2.55Br0.45,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.9,0.1,0.85,0.15,17.139330058218807
FA0.75MA0.15Cs0.10-Pb0.95Sn0.05-I2.55Br0.45,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.95,0.05,0.85,0.15,17.139330058218807
FA0.80MA0.10Cs0.10-Pb0.95Sn0.05-I2.40Br0.60,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.95,0.05,0.8,0.2,17.095184251197058
FA0.80MA0.10Cs0.10-Pb0.90Sn0.10-I2.40Br0.60,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,0.9,0.1,0.8,0.2,17.095184251197058
FA0.85MA0.00Cs0.15-Pb0.90Sn0.10-I2.70Br0.30,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.9,0.1,0.9,0.1,17.046245517591842
FA0.85MA0.00Cs0.15-Pb0.95Sn0.05-I2.55Br0.45,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.95,0.05,0.85,0.15,17.046245517591842
FA0.85MA0.00Cs0.15-Pb0.95Sn0.05-I2.70Br0.30,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.95,0.05,0.9,0.1,17.046245517591842
FA0.85MA0.00Cs0.15-Pb0.90Sn0.10-I2.55Br0.45,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.9,0.1,0.85,0.15,17.046245517591842
FA0.75MA0.15Cs0.10-Pb0.90Sn0.10-I2.40Br0.60,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.9,0.1,0.8,0.2,16.995444139595822
FA0.75MA0.15Cs0.10-Pb0.95Sn0.05-I2.40Br0.60,nip,SnO2-np,Spiro-MeOTAD,0.75,0.15,0.1,0.95,0.05,0.8,0.2,16.995444139595822
FA0.85MA0.00Cs0.15-Pb0.90Sn0.10-I2.40Br0.60,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.9,0.1,0.8,0.2,16.55108442090731
FA0.85MA0.00Cs0.15-Pb0.95Sn0.05-I2.40Br0.60,nip,SnO2-np,PTAA,0.85,0.0,0.15,0.95,0.05,0.8,0.2,16.55108442090731
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.70Br0.30,pin,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,1.0,0.0,0.9,0.1,18.07654480157059
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.55Br0.45,pin,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,1.0,0.0,0.85,0.15,18.063270105159
FA0.80MA0.10Cs0.10-Pb1.00Sn0.00-I2.70Br0.30,nip,SnO2-np,Spiro-MeOTAD,0.8,0.1,0.1,1.0,0.0,0.9,0.1,18.006920740777844
