arch,ETL,HTL,egitim_kayit_sayisi
nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,5986
pin,PCBM_60,PEDOT_PSS,1630
nip,SnO2_np,Spiro_MeOTAD,916
nip,TiO2_c___TiO2_mp,PTAA,263
nip,PCBM_60,Spiro_MeOTAD,68
pin,PCBM_60,PTAA,61
nip,SnO2_np,PTAA,51
nip,PCBM_60,PEDOT_PSS,22
pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15
pin,SnO2_np,Spiro_MeOTAD,10
nip,PCBM_60,PTAA,6
nip,SnO2_np,PEDOT_PSS,5
nip,TiO2_c___TiO2_mp,PEDOT_PSS,4
pin,TiO2_c___TiO2_mp,PEDOT_PSS,2
pin,TiO2_c___TiO2_mp,PTAA,1
pin,SnO2_np,PTAA,0
pin,PCBM_60,Spiro_MeOTAD,0
pin,SnO2_np,PEDOT_PSS,0
