arch,ETL,HTL,egitim_kayit_sayisi,benzersiz_doi_sayisi,en_buyuk_tek_yayin_payi
nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,5986,1437,0.016
pin,PCBM_60,PEDOT_PSS,1630,408,0.018
nip,SnO2_np,Spiro_MeOTAD,916,208,0.04
nip,TiO2_c___TiO2_mp,PTAA,263,69,0.228
nip,PCBM_60,Spiro_MeOTAD,68,29,0.235
pin,PCBM_60,PTAA,61,23,0.098
nip,SnO2_np,PTAA,51,13,0.294
nip,PCBM_60,PEDOT_PSS,22,8,0.318
pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15,4,0.6
pin,SnO2_np,Spiro_MeOTAD,10,4,0.4
nip,PCBM_60,PTAA,6,1,1.0
nip,SnO2_np,PEDOT_PSS,5,2,0.8
nip,TiO2_c___TiO2_mp,PEDOT_PSS,4,3,0.5
pin,TiO2_c___TiO2_mp,PEDOT_PSS,2,1,1.0
pin,TiO2_c___TiO2_mp,PTAA,1,1,1.0
pin,SnO2_np,PTAA,0,0,
pin,PCBM_60,Spiro_MeOTAD,0,0,
pin,SnO2_np,PEDOT_PSS,0,0,
