learning_rate,max_leaf_nodes,l2_regularization,max_iter,cv_r2_mean,cv_r2_std
0.05,31,1.0,200,0.4086,0.0248
0.05,31,0.0,200,0.4082,0.025
0.1,31,1.0,200,0.405,0.0189
0.05,31,0.0,400,0.4038,0.0198
0.05,31,1.0,400,0.4037,0.0194
0.1,31,0.0,200,0.4025,0.0198
0.05,63,1.0,200,0.4023,0.0213
0.05,63,0.0,200,0.4022,0.023
0.1,31,1.0,400,0.3933,0.0177
0.1,31,0.0,400,0.3913,0.0178
0.05,63,1.0,400,0.3911,0.0196
0.05,63,0.0,400,0.3904,0.0205
0.1,63,0.0,200,0.3898,0.0203
0.1,63,1.0,200,0.3877,0.0204
0.1,63,0.0,400,0.3736,0.0179
0.1,63,1.0,400,0.3665,0.0197
