DOI,Kompozisyon,Gercek_PCE,Model_tahmini,Mutlak_hata
10.1002/adfm.201604733,MA1.00 / Pb1.00 / Br1.00,5.2,3.94,1.26
10.1002/adfm.201604733,MA1.00 / Pb1.00 / Br1.00,6.2,3.94,2.26
10.1002/adfm.201604733,MA1.00 / Pb1.00 / Br1.00,6.2,3.75,2.45
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,18.65,17.6,1.05
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,20.52,17.92,2.6
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,21.2,16.31,4.89
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,19.43,17.6,1.83
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,20.52,17.92,2.6
10.1002/aenm.201803587,FA0.83MA0.12Cs0.05 / Pb1.00 / I0.88Br0.12,21.2,17.92,3.28
10.1016/j.nanoen.2018.10.011,FA0.79MA0.16Cs0.05 / Pb1.00 / I0.83Br0.17,15.6,10.98,4.62
10.1016/j.nanoen.2018.10.011,FA0.79MA0.16Cs0.05 / Pb1.00 / I0.83Br0.17,13.24,11.03,2.21
10.1016/j.nanoen.2018.10.011,FA0.79MA0.16Cs0.05 / Pb1.00 / I0.83Br0.17,11.7,11.03,0.67
10.1016/j.nanoen.2018.10.011,FA0.79MA0.16Cs0.05 / Pb1.00 / I0.83Br0.17,8.37,11.03,2.66
10.1016/j.cej.2017.05.085,MA1.00 / Pb1.00 / I1.00,10.8,9.32,1.48
10.1088/2053-1591/aa7fcd,MA1.00 / Pb1.00 / I1.00,3.8,10.94,7.14
10.1088/2053-1591/aa7fcd,MA1.00 / Pb1.00 / I1.00,7.0,10.94,3.94
10.1088/2053-1591/aa7fcd,MA1.00 / Pb1.00 / I1.00,2.4,10.94,8.54
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.2,13.62,2.42
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,9.82,13.62,3.8
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,8.73,13.62,4.89
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,10.38,13.62,3.24
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.24,13.62,2.38
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.25,13.62,2.37
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.22,13.62,2.4
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,5.58,13.62,8.04
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,7.62,13.62,6.0
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.06,13.62,2.56
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.24,13.62,2.38
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.93,13.62,1.69
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,11.82,13.62,1.8
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,10.61,13.62,3.01
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,5.54,13.62,8.08
10.1039/c9se00306a,FA0.83Cs0.17 / Pb1.00 / I0.83Br0.17,6.52,13.62,7.1
10.1039/c8cp00008e,MA1.00 / Pb1.00 / I0.95Br0.05,9.0,11.58,2.58
